model,family,feature_set,cutoff,mtu_minutes,crps,pinball_p10,pinball_p50,pinball_p90,mae,skill_score_crps,train_wall_clock,inference_wall_clock,zone
chronos2,foundation,full-features,2025-01-01,60,2.2890775638020924,0.461073210491568,1.411131020125411,1.56141211508616,2.822262040250822,0.29367624670544845,0.009034018003148958,254.1417563569994,SE1
lgbm,gbdt,full-features,2023-01-01,60,11.380227039229245,2.443751194300439,9.29378119211753,5.332808172425898,18.58756238423506,0.10801616936152236,0.08551000199804548,0.0037819299977854826,SE2
lgbm,gbdt,full-features,2024-01-01,60,9.543609217827226,1.9222524768965163,6.343570019461029,6.049591330383296,12.687140038922058,0.17003072352845072,0.11962110299646156,0.0030773319958825596,SE2
lgbm,gbdt,full-features,2025-01-01,60,3.678050808434366,0.8604647907141875,2.9430504213285023,1.71356100060886,5.8861008426570045,-0.007455140406582794,0.1583102750009857,0.0031631550009478815,SE2
xgboost,gbdt,full-features,2023-01-01,60,9.965989265574349,2.1896536469856898,9.20113188902537,3.558198362350463,18.40226377805074,0.21886432928221966,0.33338710999669274,0.003136244005872868,SE2
xgboost,gbdt,full-features,2024-01-01,60,7.457569774521722,2.2716433691978453,6.4498305082321155,2.4648807843526197,12.899661016464231,0.35144517669122977,0.45098412000515964,0.0036132800014456734,SE2
xgboost,gbdt,full-features,2025-01-01,60,4.313136707714034,0.8327950211962064,2.617347785787036,3.0195622545878087,5.234695571574072,-0.18141156111774515,0.590177002006385,0.003310074003820773,SE2
catboost,gbdt,full-features,2023-01-01,60,12.650411831093253,1.9609766467390226,8.908144313457399,8.106496786443456,17.816288626914798,0.008458902853566208,0.3775182559984387,0.002084177001961507,SE2
catboost,gbdt,full-features,2024-01-01,60,12.937195510810673,2.444988592562563,7.029667074142182,9.931137599511262,14.059334148284364,-0.12509581570263495,0.5291020810036571,0.002049091002845671,SE2
catboost,gbdt,full-features,2025-01-01,60,3.46433835812025,1.0170880282382233,3.1438788853915534,1.0355406235505986,6.287757770783107,0.05108285100563792,0.6568227329989895,0.002029643001151271,SE2
chronos2,foundation,full-features,2023-01-01,60,10.35678368171692,2.6802609259297916,8.180613508230083,4.674301088415504,16.361227016460166,0.18823380678900703,0.0073917040062951855,254.61412494999968,SE2
chronos2,foundation,full-features,2024-01-01,60,5.137975331919578,1.7465788610065873,4.817537302893347,1.1428468339794333,9.635074605786693,0.5531709679817738,0.006198829003551509,254.56278242899862,SE2
chronos2,foundation,full-features,2025-01-01,60,2.5166627985674386,0.4894086111093607,1.5390847197045172,1.746500867037281,3.0781694394090344,0.3106607262540684,0.007500701998651493,254.25907827300398,SE2
lgbm,gbdt,full-features,2023-01-01,60,9.903169421863257,2.031393951595973,9.210664619854663,3.6126955613442497,18.421329239709326,0.2237881576593137,0.09692589000042062,0.0031647639989387244,SE3
lgbm,gbdt,full-features,2024-01-01,60,8.79203005935548,2.5228175916815165,7.280612608831665,3.384614888520039,14.56122521766333,0.23539253750577416,0.1155412529988098,0.0032393350047641434,SE3
lgbm,gbdt,full-features,2025-01-01,60,4.320136739012445,0.9961936436403266,2.2030421108155775,3.2809693540627634,4.406084221631155,0.5973777503250284,0.16651536300196312,0.0032887589986785315,SE3
xgboost,gbdt,full-features,2023-01-01,60,14.427840088208514,4.0743809825579325,9.749462938308715,7.817916211446124,19.49892587661743,-0.13085617935011196,0.33182511500490364,0.0033023249998223037,SE3
xgboost,gbdt,full-features,2024-01-01,60,9.341885773340861,2.840790824890137,6.39285713036855,4.779180704752603,12.7857142607371,0.18757379947030228,0.4548928949952824,0.003097966000495944,SE3
xgboost,gbdt,full-features,2025-01-01,60,6.392342224957214,0.5877969004139305,2.779228636423747,6.221487800598143,5.558457272847494,0.4042551514485354,0.580554211002891,0.003116091000265442,SE3
catboost,gbdt,full-features,2023-01-01,60,10.069293108777787,1.9725364211461667,9.432591074365773,3.6988121676547423,18.865182148731545,0.210767359207489,0.36487457700422965,0.0021840399931534193,SE3
catboost,gbdt,full-features,2024-01-01,60,12.396860853297865,2.532098356165839,8.184786358519068,7.878406565261891,16.369572717038135,-0.07810508562216456,0.5019384600018384,0.0020605649988283403,SE3
catboost,gbdt,full-features,2025-01-01,60,3.1067228753709686,0.8023372646437318,1.6092740169835456,2.248473031429176,3.218548033967091,0.7104638513167782,0.6569705330039142,0.0020491239993134513,SE3
chronos2,foundation,full-features,2023-01-01,60,8.271808085219659,2.4108582176753868,7.197057759257498,2.799796150896603,14.394115518514996,0.3516544936470549,0.003871706998324953,251.04020542999933,SE3
chronos2,foundation,full-features,2024-01-01,60,5.157464711663224,1.7362366218236558,4.7496210380669055,1.2503394076042762,9.499242076133811,0.5514760550787499,0.0086454539996339,252.45155154499662,SE3
chronos2,foundation,full-features,2025-01-01,60,5.944630444688031,2.1904926443666097,4.260726543168861,2.465726479496576,8.521453086337722,0.445980387261134,0.011473193000711035,250.16642745799618,SE3
lgbm,gbdt,full-features,2023-01-01,60,10.605688727234998,2.3060050351077592,9.120394759333413,4.482133296411324,18.240789518666826,0.16872459355440905,0.09114969400252448,0.0035896670015063137,SE4
lgbm,gbdt,full-features,2024-01-01,60,8.841747520060865,2.9318110536267157,7.769000378578134,2.5618098478864497,15.538000757156269,0.2310688100827598,0.1261497320010676,0.0035335810025571845,SE4
lgbm,gbdt,full-features,2025-01-01,60,4.680217604443125,0.8661015688874079,2.5847635391139536,3.569461298663326,5.169527078227907,0.7386813174515285,0.15848308699787594,0.002915946999564767,SE4
xgboost,gbdt,full-features,2023-01-01,60,12.702844246923922,1.7743059826791285,8.46717227379481,8.812788113911944,16.93434454758962,0.00434924256638114,0.3292997469980037,0.0033115190017269924,SE4
xgboost,gbdt,full-features,2024-01-01,60,10.246408864127265,2.880595442454021,7.107836340268452,5.381181513468423,14.215672680536905,0.10891106736582101,0.46869214800244663,0.003282443001808133,SE4
xgboost,gbdt,full-features,2025-01-01,60,7.047620775236023,0.7462565119067829,2.7901588453849158,7.0350158055623355,5.5803176907698315,0.6064980024993845,0.5736934279993875,0.003433591002249159,SE4
catboost,gbdt,full-features,2023-01-01,60,10.129204102106113,2.074118282674403,9.384756282576761,3.7349315879080014,18.769512565153523,0.20607152694138897,0.3709714249998797,0.0020383110022521578,SE4
catboost,gbdt,full-features,2024-01-01,60,12.736022209947208,3.084801532854785,12.644715543406804,3.374516238659226,25.289431086813607,-0.10760058353709834,0.5101105060020927,0.0021438719995785505,SE4
catboost,gbdt,full-features,2025-01-01,60,3.8713146111745202,0.7273010801218005,2.339679801664197,2.7399910349757826,4.679359603328394,0.7838461970310151,0.6375695739989169,0.0020794490046682768,SE4
chronos2,foundation,full-features,2023-01-01,60,8.066404448752493,2.4637716700504426,7.024998854789153,2.610836148289143,14.049997709578307,0.3677540601892233,0.004336936995969154,251.11531561499578,SE4
chronos2,foundation,full-features,2024-01-01,60,5.270554572946897,1.8261399505242508,4.6069296096148005,1.4727622992812923,9.213859219229601,0.5416410850790827,0.0069467529974645,254.35231536100036,SE4
chronos2,foundation,full-features,2025-01-01,60,8.087572117508275,3.2799590874292726,6.1863168914638464,2.6650821973692937,12.372633782927693,0.548432600920811,0.007226825000543613,254.60846592300368,SE4
